回合索引,敌人列表,血量加成,攻击力加成,金币奖励数量,钻石奖励数量
Id,EnemyList,HpAdd,ATKAdd,Coin,Gem
int,list<string>,float,float,int,int
1,E001,0,0,300,10
2,E002,0.2,0.2,360,12
3,E003,0.4,0.4,420,14
4,E001,0.6,0.6,480,16
5,E002,0.8,0.8,540,18
6,E003,1,1,600,20
7,E001,1.2,1.2,660,22
8,E002,1.4,1.4,720,24
9,E003,1.6,1.6,780,26
10,E001,1.8,1.8,840,28
11,E002,2,2,900,30
12,E003,2.2,2.2,960,32
13,E001,2.4,2.4,1020,34
14,E002,2.6,2.6,1080,36
15,E003,2.8,2.8,1140,38
16,E001,3,3,1200,40
17,E002,3.2,3.2,1260,42
18,E003,3.4,3.4,1320,44
19,E001,3.6,3.6,1380,46
20,E002,3.8,3.8,1440,48
21,E003,4,4,1500,50
22,E001,4.2,4.2,1560,52
23,E002,4.4,4.4,1620,54
24,E003,4.6,4.6,1680,56
25,E001,4.8,4.8,1740,58
26,E002,5,5,1800,60
27,E003,5.2,5.2,1860,62
28,E001,5.4,5.4,1920,64
29,E002,5.6,5.6,1980,66
30,E003,5.8,5.8,2040,68
31,E001,6,6,2100,70
32,E002,6.2,6.2,2160,72
33,E003,6.4,6.4,2220,74
34,E001,6.6,6.6,2280,76
35,E002,6.8,6.8,2340,78
36,E003,7,7,2400,80
37,E001,7.2,7.2,2460,82
38,E002,7.4,7.4,2520,84
39,E003,7.6,7.6,2580,86
40,E001,7.8,7.8,2640,88
41,E002,8,8,2700,90
42,E003,8.2,8.2,2760,92
43,E001,8.4,8.4,2820,94
44,E002,8.6,8.6,2880,96
45,E003,8.8,8.8,2940,98
46,E001,9,9,3000,100
47,E002,9.2,9.2,3060,102
48,E003,9.4,9.4,3120,104
49,E001,9.6,9.6,3180,106
50,E002,9.8,9.8,3240,108
51,E003,10,10,3300,110
52,E001,10.2,10.2,3360,112
53,E002,10.4,10.4,3420,114
54,E003,10.6,10.6,3480,116
55,E001,10.8,10.8,3540,118
56,E002,11,11,3600,120
57,E003,11.2,11.2,3660,122
58,E001,11.4,11.4,3720,124
59,E002,11.6,11.6,3780,126
60,E003,11.8,11.8,3840,128
61,E001,12,12,3900,130
62,E002,12.2,12.2,3960,132
63,E003,12.4,12.4,4020,134
64,E001,12.6,12.6,4080,136
65,E002,12.8,12.8,4140,138
66,E003,13,13,4200,140
67,E001,13.2,13.2,4260,142
68,E002,13.4,13.4,4320,144
69,E003,13.6,13.6,4380,146
70,E001,13.8,13.8,4440,148
71,E002,14,14,4500,150
72,E003,14.2,14.2,4560,152
73,E001,14.4,14.4,4620,154
74,E002,14.6,14.6,4680,156
75,E003,14.8,14.8,4740,158
76,E001,15,15,4800,160
77,E002,15.2,15.2,4860,162
78,E003,15.4,15.4,4920,164
79,E001,15.6,15.6,4980,166
80,E002,15.8,15.8,5040,168
81,E003,16,16,5100,170
82,E001,16.2,16.2,5160,172
83,E002,16.4,16.4,5220,174
84,E003,16.6,16.6,5280,176
85,E001,16.8,16.8,5340,178
86,E002,17,17,5400,180
87,E003,17.2,17.2,5460,182
88,E001,17.4,17.4,5520,184
89,E002,17.6,17.6,5580,186
90,E003,17.8,17.8,5640,188
91,E001,18,18,5700,190
92,E002,18.2,18.2,5760,192
93,E003,18.4,18.4,5820,194
94,E001,18.6,18.6,5880,196
95,E002,18.8,18.8,5940,198
96,E003,19,19,6000,200
97,E001,19.2,19.2,6060,202
98,E002,19.4,19.4,6120,204
99,E003,19.6,19.6,6180,206
